laureate_name,nobel_api_id,prize_categories,prize_years,prize_subfields,award_summaries,preferred_title,original_title,first_publication_year,role,coauthors_or_coeditors,work_type,technicality_score,audience_level,review_status,relationship_confidence,overall_confidence,edition_count,languages,isbn13s,dois,oclc_numbers,wikidata_qid,openlibrary_work_id,source_count,source_urls,notes
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Single-particle and Collective Aspects of Nuclear Rotation,,1981,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=78pCAQAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Solutions for Particle-rotor and Cranking Models for Single J Configuration,,1980,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=ols_nQAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Some Aspects of Rotational Motion,,1977,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=erVzAQAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Some Current Themes in Nuclear Research,,1974,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,en,,,,,,1,https://books.google.com/books?id=Ye5inQAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Struktur der Atomkerne,,1980,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,9783446129474,,,,,1,https://books.google.com/books?id=ZbLqQgAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Struktur der Atomkerne,,1980,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,,,,,,1,https://books.google.com/books?id=lZtaswEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Struktur der Atomkerne,,1980,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,,,,,,1,https://books.google.com/books?id=6O2NQwAACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Struktur der Atomkerne,,1980,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,,,,,,1,https://books.google.com/books?id=8DguswEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Struktur der Atomkerne,,1981,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,,,,,,1,https://books.google.com/books?id=XwjcZwEACAAJ,no decisive deterministic taxonomy indicator
Aage N. Bohr,102,physics,1975,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Struktur der Atomkerne,,1981,author,,unknown,0.35,unknown,needs_review,0.55,0.45,1,de,,,,,,1,https://books.google.com/books?id=C9cingEACAAJ,no decisive deterministic taxonomy indicator
