canonical_work_id,edition_title,language,publication_date,publisher,edition_statement,format,isbn10,isbn13,doi,oclc,source_ids,confidence,source_urls,amazon_search_url,amazon_asin,amazon_marketplace,amazon_stars,amazon_review_count,amazon_observed_at,amazon_source_url,amazon_match_confidence
30,Ueber den kreislauf des Kohlenstoffs in der organischen Natur,de,1866,A. Charisius,,,,,,22354812,openlibrary:OL60719990M,0.7,https://openlibrary.org/books/OL60719990M,https://www.amazon.com/s?k=Ueber+den+kreislauf+des+Kohlenstoffs+in+der+organischen+Natur,,,,,,,
5023,Rotational states of atomic nuclei.,en,1954,Munksgaard,,,,,,4312983,openlibrary:OL6182313M,0.7,https://openlibrary.org/books/OL6182313M,https://www.amazon.com/s?k=Rotational+states+of+atomic+nuclei.,,,,,,,
31,Laser and molecular beam studies of chemical reaction dynamics,en,1996,Elsevier,,,,,,35139278,openlibrary:OL61857653M,0.7,https://openlibrary.org/books/OL61857653M,https://www.amazon.com/s?k=Laser+and+molecular+beam+studies+of+chemical+reaction+dynamics,,,,,,,
41,Voyage Through Time,en,"February 15, 2004",American University in Cairo Press,,,9774248430,9789774248436,,55057447,openlibrary:OL9191372M,0.7,https://openlibrary.org/books/OL9191372M,https://www.amazon.com/s?k=9789774248436,,,,,,,
861,Q108815406,,1977-01-01T00:00:00Z,,,,3492023088,9783492023085,,,wikidata:Q108815406,0.7,https://www.wikidata.org/wiki/Q108815406,https://www.amazon.com/s?k=9783492023085,,,,,,,
256,Q108843045,,,,,,,,,,wikidata:Q108843045,0.7,https://www.wikidata.org/wiki/Q108843045,https://www.amazon.com/s?k=Q108843045,,,,,,,
683,Q108935291,,1979-01-01T00:00:00Z,,,,3492024475,9783492024471,,,wikidata:Q108935291,0.7,https://www.wikidata.org/wiki/Q108935291,https://www.amazon.com/s?k=9783492024471,,,,,,,
5050,Q114651868,,1991-04-01T00:00:00Z,,,,4826900465,9784826900461,,,wikidata:Q114651868,0.7,https://www.wikidata.org/wiki/Q114651868,https://www.amazon.com/s?k=9784826900461,,,,,,,
669,Q115361554,,2000-01-01T00:00:00Z,,,,8085974908,9788085974904,,45372338,wikidata:Q115361554,0.7,https://www.wikidata.org/wiki/Q115361554,https://www.amazon.com/s?k=9788085974904,,,,,,,
5053,Q117157203,,1958-01-01T00:00:00Z,,,,,,,81130480,wikidata:Q117157203,0.7,https://www.wikidata.org/wiki/Q117157203,https://www.amazon.com/s?k=Q117157203,,,,,,,
5053,Q117165542,,1945-01-01T00:00:00Z,,,,,,,76732724,wikidata:Q117165542,0.7,https://www.wikidata.org/wiki/Q117165542,https://www.amazon.com/s?k=Q117165542,,,,,,,
5037,Q118346890,,1935-01-01T00:00:00Z,,,,,,,,wikidata:Q118346890,0.7,https://www.wikidata.org/wiki/Q118346890,https://www.amazon.com/s?k=Q118346890,,,,,,,
,Q124393582,,1926-01-01T00:00:00Z,,,,,,,,wikidata:Q124393582,0.7,https://www.wikidata.org/wiki/Q124393582,https://www.amazon.com/s?k=Q124393582,,,,,,,
,Q124393624,,1897-01-01T00:00:00Z,,,,,,,1040539776,wikidata:Q124393624,0.7,https://www.wikidata.org/wiki/Q124393624,https://www.amazon.com/s?k=Q124393624,,,,,,,
,Q124393694,,1931-01-01T00:00:00Z,,,,,,,,wikidata:Q124393694,0.7,https://www.wikidata.org/wiki/Q124393694,https://www.amazon.com/s?k=Q124393694,,,,,,,
,Q124393704,,1901-01-01T00:00:00Z,,,,,,,,wikidata:Q124393704,0.7,https://www.wikidata.org/wiki/Q124393704,https://www.amazon.com/s?k=Q124393704,,,,,,,
,Q124393906,,1905-01-01T00:00:00Z,,,,,,,,wikidata:Q124393906,0.7,https://www.wikidata.org/wiki/Q124393906,https://www.amazon.com/s?k=Q124393906,,,,,,,
,Q125024575,,1889-01-01T00:00:00Z,,,,,,,,wikidata:Q125024575,0.7,https://www.wikidata.org/wiki/Q125024575,https://www.amazon.com/s?k=Q125024575,,,,,,,
639,Q126551393,,,,,,0393351378,9780393351378,,891611098,wikidata:Q126551393,0.7,https://www.wikidata.org/wiki/Q126551393,https://www.amazon.com/s?k=9780393351378,,,,,,,
855,Q126653861,,,,,,8484322173,9788484322177,,,wikidata:Q126653861,0.7,https://www.wikidata.org/wiki/Q126653861,https://www.amazon.com/s?k=9788484322177,,,,,,,
5054,Q131931305,,1993-01-01T00:00:00Z,,,,807106078X,9788071060789,,,wikidata:Q131931305,0.7,https://www.wikidata.org/wiki/Q131931305,https://www.amazon.com/s?k=9788071060789,,,,,,,
5112,Q132274144,,,,,,0465000924,9780465000920,,24674609,wikidata:Q132274144,0.7,https://www.wikidata.org/wiki/Q132274144,https://www.amazon.com/s?k=9780465000920,,,,,,,
158,Q133328361,,1937-01-29T00:00:00Z,,,,1512811424,9781512811421,,,wikidata:Q133328361,0.7,https://www.wikidata.org/wiki/Q133328361,https://www.amazon.com/s?k=9781512811421,,,,,,,
865,Q134176197,,2023-01-01T00:00:00Z,,,,,9785179827511,,,wikidata:Q134176197,0.7,https://www.wikidata.org/wiki/Q134176197,https://www.amazon.com/s?k=9785179827511,,,,,,,
703,Q135405361,,2017-01-01T00:00:00Z,,,,0691159025,9780691159027,,900684172,wikidata:Q135405361,0.7,https://www.wikidata.org/wiki/Q135405361,https://www.amazon.com/s?k=9780691159027,,,,,,,
717,Q135645585,,,,,,9814304646,9789814304641,,503072494,wikidata:Q135645585,0.7,https://www.wikidata.org/wiki/Q135645585,https://www.amazon.com/s?k=9789814304641,,,,,,,
861,Q136714080,,1993-08-18T00:00:00Z,,,,0465024378,9780465024377,,28746057,wikidata:Q136714080,0.7,https://www.wikidata.org/wiki/Q136714080,https://www.amazon.com/s?k=9780465024377,,,,,,,
648,Q137650825,,,,,,0593315308,9780593315309,,,wikidata:Q137650825,0.7,https://www.wikidata.org/wiki/Q137650825,https://www.amazon.com/s?k=9780593315309,,,,,,,
,Q138561922,,2001-10-02T00:00:00Z,,,,037575766X,9780375757662,,46685578,wikidata:Q138561922,0.7,https://www.wikidata.org/wiki/Q138561922,https://www.amazon.com/s?k=9780375757662,,,,,,,
,Q138844211,,1893-01-01T00:00:00Z,,,,,,,1045217673,wikidata:Q138844211,0.7,https://www.wikidata.org/wiki/Q138844211,https://www.amazon.com/s?k=Q138844211,,,,,,,
,Q139381236,,2025-10-29T00:00:00Z,,,,,,,,wikidata:Q139381236,0.7,https://www.wikidata.org/wiki/Q139381236,https://www.amazon.com/s?k=Q139381236,,,,,,,
565,Q139915473,,,,,,0307481794,9780307481795,,,wikidata:Q139915473,0.7,https://www.wikidata.org/wiki/Q139915473,https://www.amazon.com/s?k=9780307481795,,,,,,,
69,Q40771444,,1965-06-01T00:00:00Z,,,,,9780226318028,,477058691,wikidata:Q40771444,0.7,https://www.wikidata.org/wiki/Q40771444,https://www.amazon.com/s?k=9780226318028,,,,,,,
1096,Global Analysis and Its Applications,en,1974,,,,,,,,google_books:-HAvrgEACAAJ,0.7,https://books.google.com/books?id=-HAvrgEACAAJ,https://www.amazon.com/s?k=Global+Analysis+and+Its+Applications,,,,,,,
5019,Moments of Inertia of Rotating Nuclei,en,1955,,,,,,,,google_books:-bsezwEACAAJ,0.7,https://books.google.com/books?id=-bsezwEACAAJ,https://www.amazon.com/s?k=Moments+of+Inertia+of+Rotating+Nuclei,,,,,,,
1172,Some Developmental Issues of Settlement Schemes in the Sudan,en,1982,,,,,,,,google_books:-egTNAAACAAJ,0.7,https://books.google.com/books?id=-egTNAAACAAJ,https://www.amazon.com/s?k=Some+Developmental+Issues+of+Settlement+Schemes+in+the+Sudan,,,,,,,
1226,A Massless Non-goldstone Neutrino in a Supersymmetric Model,en,1976,,,,,,,,google_books:-gTlmgEACAAJ,0.7,https://books.google.com/books?id=-gTlmgEACAAJ,https://www.amazon.com/s?k=A+Massless+Non-goldstone+Neutrino+in+a+Supersymmetric+Model,,,,,,,
1309,Knowledge as Development,en,2015,,,,,,,,google_books:-k62swEACAAJ,0.7,https://books.google.com/books?id=-k62swEACAAJ,https://www.amazon.com/s?k=Knowledge+as+Development,,,,,,,
1291,Comment Vivre en Musulman ?,fr,2014-01-01,Al Manhal,,,,9796500152530,,,google_books:-k6tDQAAQBAJ,0.7,https://books.google.com/books?id=-k6tDQAAQBAJ,https://www.amazon.com/s?k=9796500152530,,,,,,,
987,Fundamentals of Power Systems,en,2009,"Alpha Science International, Limited",,,1842655191,9781842655191,,,google_books:0CKmQAAACAAJ,0.7,https://books.google.com/books?id=0CKmQAAACAAJ,https://www.amazon.com/s?k=9781842655191,,,,,,,
1300,Fundamentals of Pneumatics and Hydraulics,en,2022-04-07,Springer,,,9811908540,9789811908545,,,google_books:0L7pzgEACAAJ,0.7,https://books.google.com/books?id=0L7pzgEACAAJ,https://www.amazon.com/s?k=9789811908545,,,,,,,
1296,Jawaban Pertanyaan Rumit Dalam Islam,id,,Pustaka Al-Kautsar,,,,,,,google_books:0NZUEAAAQBAJ,0.7,https://books.google.com/books?id=0NZUEAAAQBAJ,https://www.amazon.com/s?k=Jawaban+Pertanyaan+Rumit+Dalam+Islam,,,,,,,
1222,Detroit Edison Hart Substation,en,1988,,,,,,,,google_books:0RxEzwEACAAJ,0.7,https://books.google.com/books?id=0RxEzwEACAAJ,https://www.amazon.com/s?k=Detroit+Edison+Hart+Substation,,,,,,,
1224,ادبى اشارے,ur,1965,,,,,,,,google_books:0bJHAAAAMAAJ,0.7,https://books.google.com/books?id=0bJHAAAAMAAJ,https://www.amazon.com/s?k=%D8%A7%D8%AF%D8%A8%D9%89+%D8%A7%D8%B4%D8%A7%D8%B1%DB%92,,,,,,,
1124,"Nonpolynomial Lagrangians, Renormalisation [sic] and Gravity",en,1971,,,,,,,,google_books:0fNBAAAAIAAJ,0.7,https://books.google.com/books?id=0fNBAAAAIAAJ,https://www.amazon.com/s?k=Nonpolynomial+Lagrangians%2C+Renormalisation+%5Bsic%5D+and+Gravity,,,,,,,
1053,One hundred reasons to be a scientist : The Abdus Salam International Centre for Theoretical Physics ; 40th anniversary 1964 - 2004,en,2004,,,,9295003292,9789295003293,,,google_books:0n9AuAAACAAJ,0.7,https://books.google.com/books?id=0n9AuAAACAAJ,https://www.amazon.com/s?k=9789295003293,,,,,,,
1035,Supersymmetry and Superfields,en,1976,,,,,,,,google_books:0yMbmwEACAAJ,0.7,https://books.google.com/books?id=0yMbmwEACAAJ,https://www.amazon.com/s?k=Supersymmetry+and+Superfields,,,,,,,
998,"4th William and Mary Lecture, Leiden University, 30 October 1996",en,1997*,,,,,,,,google_books:182RHAAACAAJ,0.7,https://books.google.com/books?id=182RHAAACAAJ,https://www.amazon.com/s?k=4th+William+and+Mary+Lecture%2C+Leiden+University%2C+30+October+1996,,,,,,,
953,Effects of Grazing of Brachiaria Decumbens on the Ultrastructure of Liver and Kidney of Sheep,en,1987,,,,,,,,google_books:1D-MAQAACAAJ,0.7,https://books.google.com/books?id=1D-MAQAACAAJ,https://www.amazon.com/s?k=Effects+of+Grazing+of+Brachiaria+Decumbens+on+the+Ultrastructure+of+Liver+and+Kidney+of+Sheep,,,,,,,
1007,The Minimalist Budget,en,2023-10-26,Independently Published,,,,9798865540885,,,google_books:1Pg80AEACAAJ,0.7,https://books.google.com/books?id=1Pg80AEACAAJ,https://www.amazon.com/s?k=9798865540885,,,,,,,
